Agency,CN ID,SON ID,Supplier Name,Supplier ABN,Description,Category,Agency Ref. ID,Publish Date,Start Date,End Date,Value (AUD)
Administrative Appeals Tribunal,CN3481840,,NOVOTEL TWIN WATERS RESORT,33104336807,National Conference,Conference centres,4500000130,31-Jan-18,12-Dec-17,31-Mar-18,"309,210.00"
Administrative Appeals Tribunal,CN3481841,,DATACOM SYSTEMS (NSW) PTY LTD,61055506968,VMWare Software,Software,4500000131,31-Jan-18,13-Dec-17,30-Apr-18,"143,782.36"
Administrative Appeals Tribunal,CN3481842,,DATACOM SYSTEMS (NSW) PTY LTD,61055506968,Nintex Workflow,Software,4500000132,31-Jan-18,13-Dec-17,31-Mar-18,"27,307.28"
Administrative Appeals Tribunal,CN3481843,,ROBERT GEORGE BUTTERWORTH,95028276336,Independent Member for the Audit and Risk Committe,Risk management consultation services,4500000133,31-Jan-18,14-Dec-17,31-Dec-18,"11,550.00"
Administrative Appeals Tribunal,CN3481844,,CLAUDIA BELS,96188161334,Independent Chair for Audit and Risk Committee fee,Risk management consultation services,4500000134,31-Jan-18,14-Dec-17,31-Dec-18,"17,248.00"
Administrative Appeals Tribunal,CN3481845,,Computer Systems Australia PTY LTD,44003147153,Implementation of Microsoft SCCM 2016,Application implementation services,4500000135,31-Jan-18,15-Dec-17,31-Mar-18,"13,733.50"
Administrative Appeals Tribunal,CN3481846,,DATA #3 LIMITED,31010545267,RSA SecurdID soft token seeds,Software,4500000136,31-Jan-18,15-Dec-17,31-Mar-18,"16,235.84"
Administrative Appeals Tribunal,CN3481847,,EE FILMS PTY LTD,41055899324,Production of the AAT Member Induction video inclu,Photographic and recording media,4500000137,31-Jan-18,15-Dec-17,7-Apr-18,"15,849.35"
Administrative Appeals Tribunal,CN3481848,,SOUTHERN CROSS COMPUTING,71008626131,Undertake a 'Discovery' exercise in accordance wit,Software,4500000138,31-Jan-18,18-Dec-17,31-Mar-18,"14,960.00"
Administrative Appeals Tribunal,CN3481849,,MITCHELL MEDIATION,52626055701,Training 2017 Conference Registrar Workshop,Meeting facilities,4500000139,31-Jan-18,18-Dec-17,31-Mar-18,"13,200.00"
Administrative Appeals Tribunal,CN3481850,,AUSTRALIAN GOVERNMENT SOLICITOR ACT,69405937639,Employment Law Masterclass in Sydney,Developmental and professional teaching aids and materials and accessories and supplies,4500000140,31-Jan-18,18-Dec-17,31-Mar-18,"10,595.59"
Administrative Appeals Tribunal,CN3481851,,SOUTHERN CROSS COMPUTING,71008626131,Solution Manager 7.2 Upgrade,Software,4500000141,31-Jan-18,19-Dec-17,31-Mar-18,"17,952.00"
Administrative Appeals Tribunal,CN3481852,,CONVERGED COMMUNICATIONS NETWORK,68128905091,Telephone Support & Maintenance,Telephony equipment,4500000142,31-Jan-18,20-Dec-17,31-Mar-18,"44,274.45"
Administrative Appeals Tribunal,CN3481853,,ACRONYMIT PTY LIMITED,68096077422,BlackBerry Mobility Suite Premium Support upgrade,Mobile phones,4500000143,31-Jan-18,22-Dec-17,28-Mar-18,"64,515.00"
Administrative Appeals Tribunal,CN3481854,,Vic Environmental Waste Serv's PL,91069414302,"Rubbish/E-waste disposal - 120 Spencer Street, Mel",Relocation services,4500000144,31-Jan-18,22-Dec-17,11-Jan-18,"20,944.00"
Administrative Appeals Tribunal,CN3481855,,SHAPE AUSTRALIA PTY LTD,70003861765,Melbourne fit out project,Construction and maintenance support equipment,4500000145,31-Jan-18,2-Jan-18,31-Mar-18,"767,814.14"
Administrative Appeals Tribunal,CN3481856,,Vic Environmental Waste Serv's PL,91069414302,Rubbish/E-waste disposal,Relocation services,4500000146,31-Jan-18,2-Jan-18,31-Jan-18,"21,983.50"
Administrative Appeals Tribunal,CN3481857,,Computer Systems Australia PTY LTD,44003147153,migration on site assistance,Information technology consultation services,4500000148,31-Jan-18,4-Jan-18,17-Jan-18,"175,729.73"
Administrative Appeals Tribunal,CN3481858,,HAYS PERSONNEL SERVICES (AUST) P/L,47001407281,Labour Hire,Employment services,4500000149,31-Jan-18,9-Jan-18,30-Jun-18,"55,000.00"
Administrative Appeals Tribunal,CN3481859,,AUSTRALIAN BUSINESS RELOCATIONS,39958631507,Excess Asset removal,Relocation services,4500000150,31-Jan-18,10-Jan-18,15-Jan-18,"27,918.00"
Administrative Appeals Tribunal,CN3481860,,SENSEI PROJECT SOLUTIONS,34610828656,Sharepoint 2016,Software,4500000151,31-Jan-18,11-Jan-18,9-Apr-18,"41,250.00"
Administrative Appeals Tribunal,CN3481861,,SLICEDTECH,53165997008,Published Desktop,Software,4500000152,31-Jan-18,16-Jan-18,28-Feb-19,"234,122.33"
Administrative Appeals Tribunal,CN3481862,,O'CONNOR MARSDEN & ASSOCIATES,94135783792,Internal Audit of compliance with PGPA Act,Corporate objectives or policy development,4500000153,31-Jan-18,23-Jan-18,31-Mar-18,"13,612.50"
Administrative Appeals Tribunal,CN3481863,,CONVERGED COMMUNICATIONS NETWORK,68128905091,AURA CORE SUITE R6 ADD SOFTWARE LIC,Software,4500000154,31-Jan-18,30-Jan-18,31-Mar-18,"13,766.50"
Administrative Appeals Tribunal,CN3481864,,GREYTHORN PTY LTD,57071352031,Project Manager Contractor: employment 6 mths,Project management,4500000155,31-Jan-18,31-Jan-18,17-Aug-18,"155,787.50"
Administrative Appeals Tribunal,CN3481969,,Toll Transport Pty Ltd t/a Toll Priority,31006604191,Mail and Courier Services,Postal and small parcel and courier services,,1-Feb-18,9-Jun-17,6-Jun-20,"721,212.00"
Administrative Appeals Tribunal,CN3481985,,DFP Recruitment Services,66394749447,HR Change Manager,Management advisory services,,1-Feb-18,12-Sep-17,21-Dec-17,"67,197.60"
Administrative Appeals Tribunal,CN3485121,,COLLIERS INTERNATIONAL PROJECT SERV,94003734692,Design and projec management,Commercial or industrial construction,4500000163,15-Feb-18,12-Feb-18,30-Jun-18,"110,715.00"
Administrative Appeals Tribunal,CN3485122,,LINK LEARNING,76569643251,Change Management Training Sessions,Developmental and professional teaching aids and materials and accessories and supplies,4500000162,15-Feb-18,9-Feb-18,28-Feb-18,"19,428.84"
Administrative Appeals Tribunal,CN3485123,,COLLIERS INTERNATIONAL PROJECT SERV,94003734692,Design and projec management,Project management,4500000161,15-Feb-18,8-Feb-18,31-Mar-18,"101,211.00"
Administrative Appeals Tribunal,CN3485124,,SECTOR SEVEN,13155283757,Consultant for Corporate Services Review,Strategic planning consultation services,4500000160,15-Feb-18,7-Feb-18,31-Mar-18,"60,489.00"
Administrative Appeals Tribunal,CN3485125,,ORIMA RESEARCH,77076347914,Ongoing user feedback surveys,Economic or financial evaluation of projects,4500000159,15-Feb-18,6-Feb-18,31-Jul-18,"76,840.01"
Administrative Appeals Tribunal,CN3485126,,IA GROUP PTY LTD,29075871813,Perth fit out design,Commercial or industrial construction,4500000158,15-Feb-18,5-Feb-18,30-Jun-18,"228,800.00"
Administrative Appeals Tribunal,CN3485127,,ENGIE SERVICES,61007012544,Supply & installation of Associates Bench Micropho,Electrical equipment and components and supplies,4500000156,15-Feb-18,5-Feb-18,30-Jun-18,"16,483.75"
Administrative Appeals Tribunal,CN3485371,,Challenger Life Nominees,39091336793,Makegood deed for Level 11 565 Bourke St Melbourne,Lease and rental of property or building,,16-Feb-18,1-Jul-17,31-Dec-17,"253,000.00"
Administrative Appeals Tribunal,CN3485569,,Paxus Australia Pty Ltd,35004609616,labour hire,Project management,,19-Feb-18,1-Feb-18,27-Jul-18,"135,122.92"
Administrative Appeals Tribunal,CN3486581,,EE Films Pty Ltd,41055899324,"Translation of the six video guides, and development of the multi-access video guide",Photographic and recording media,,22-Feb-18,8-Feb-18,29-Jun-18,"47,791.15"
Administrative Appeals Tribunal,CN3495968,,Computer Systems Australia PTY LTD,44003147153,CSA Consulting Fees,Information technology consultation services,4500000003,9-Apr-18,22-Jun-17,30-Jun-17,"24,483.80"
Administrative Appeals Tribunal,CN3495969,,NOVOTEL TWIN WATERS RESORT,33104336807,National Conference,Conference centres,4500000130,9-Apr-18,19-Mar-18,31-Mar-18,"13,204.01"
Administrative Appeals Tribunal,CN3495970,,SHAPE AUSTRALIA PTY LTD,70003861765,Melbourne fit out project,Construction and maintenance support equipment,4500000145,9-Apr-18,15-Mar-18,31-Mar-18,"66,826.61"
Administrative Appeals Tribunal,CN3495971,,ADRIAN HO,65899798230,For training and mentoring services with new MRD M,Developmental and professional teaching aids and materials and accessories and supplies,4500000164,9-Apr-18,16-Feb-18,31-Aug-18,"20,000.00"
Administrative Appeals Tribunal,CN3495972,,NRK ELECTRICAL,51129921133,"Electrical and data works for Suite 10.01, 111 St",Electronic hardware and component parts and accessories,4500000168,9-Apr-18,23-Feb-18,31-May-18,"21,014.40"
Administrative Appeals Tribunal,CN3495973,,FUJITSU AUSTRALIA LTD,19001011427,BlackBerry Professional Services Implementation,Information technology consultation services,4500000169,9-Apr-18,26-Feb-18,30-Jun-18,"157,431.07"
Administrative Appeals Tribunal,CN3495974,,DATACOM SYSTEMS (NSW) PTY LTD,61055506968,SolarWinds IP Address Manager IPX,Software,4500000170,9-Apr-18,26-Feb-18,30-Jun-18,"17,273.12"
Administrative Appeals Tribunal,CN3495975,,ACCESSHQ,13069942552,Business analysis consulting services,Business intelligence consulting services,4500000171,9-Apr-18,26-Feb-18,24-Apr-18,"60,390.00"
Administrative Appeals Tribunal,CN3495976,,Programmed Electrical Technologies,54052011631,Installation of sound masking: hearing rooms,Electrical equipment and components and supplies,4500000172,9-Apr-18,27-Feb-18,28-Feb-18,"10,758.00"
Administrative Appeals Tribunal,CN3495977,,Computer Systems Australia PTY LTD,44003147153,Variation to Cireson portal customisation & system,Computers,4500000173,9-Apr-18,13-Mar-18,30-Jun-18,"41,508.50"
