"","Supplier.Name","tot"
"1","0956196 bc",6
"2","2ii",5
"3","379 aew/ecpts",11
"4","3sdl",5
"5","3wg aviation aafc",9
"6","a & g price",33
"7","a & g price div cpd enginee*",5
"8","a & p group",482
"9","a and g price",21
"10","a-t solutions",5
"11","a&g price",5
"12","aai",55
"13","aai corporation textron systems",5
"14","aar manufacturing dba aar mobi",5
"15","aarhus universitet",12
"16","aarons audrey",6
"17","abb",10
"18","abelia",7
"19","accounts receivable administrator",17
"20","accuracy 1st",5
"21","accuracy international",44
"22","acquia",14
"23","acroamatics",20
"24","adam smith international",32
"25","adams rite aerospace",23
"26","adex nihon keizai advertising",5
"27","adf solutions",6
"28","adobe systems software ireland",10
"29","ads international",9
"30","advanced rotorcraft technology",5
"31","aero dynamix",6
"32","aero hardware & parts",21
"33","aero international",28
"34","aero precision industries",14
"35","aero systems engineering",16
"36","aeronautical & general instruments",25
"37","aeronix",7
"38","aerospace manufacturing",7
"39","aerotest",13
"40","agensi sri cemerlang",8
"41","aggreko (singapore) pte",8
"42","agiltron",17
"43","agulhas development consultants",13
"44","agustawestland",137
"45","air new zealand",182
"46","air new zealand div air",52
"47","air new zealand division",5
"48","air new zealand engineering",5
"49","air7000 p8 poseidonrement 1",20
"50","airborne systems",18
"51","airboss defense",5
"52","airbus defence and space",28
"53","aircraft technical publishers",7
"54","airdatec",5
"55","airflite",9
"56","airways hotel & apar",5
"57","alan beckett",8
"58","alelo tlt",8
"59","alenia aermacchi spa",27
"60","alexis park resort & spa",7
"61","alfred hospital radiotherapy",11
"62","aliansi jurnalis independen",6
"63","all-system aerospace intl",10
"64","allen vanguard",5
"65","allen vanguard threat solutions",5
"66","allen-vanguard",119
"67","allen-vanguardtechnologies",22
"68","alliant techsystems",42
"69","alloy surfaces",10
"70","alpha armouring panzerung",10
"71","altair engineering div headqua",7
"72","altia digital policing",5
"73","altia solutions",16
"74","amara hotel",5
"75","amazon web services",58
"76","ambrose christian",5
"77","american apex",6
"78","american chemical society",6
"79","american science & engineering",5
"80","amherst systems",25
"81","ams advanced maintenance systems",9
"82","amsafe bridport",6
"83","analysys mason",19
"84","andrew christian",6
"85","andrew love centre",11
"86","anthony land associates",8
"87","antrix corporation",11
"88","anz business card service",24
"89","appian software switzerland",6
"90","appsense",20
"91","apriva iss",11
"92","archipelago marine research",11
"93","arcitura education",7
"94","argon st",5
"95","ariel optics",5
"96","arincorporated",16
"97","armatec survivability",24
"98","armoured specialty cars",5
"99","armtec countermeasures",23
"100","arrow tech associates",5
"101","asco motors",7
"102","aseanet the south east asian loop of bionet international",10
"103","ashcote consulting",6
"104","asia pacific metrology programme",9
"105","asia pacific telecommunity",5
"106","associated aircraft manufacturing",109
"107","astute electronics",8
"108","at engine controls",30
"109","atlantic exhibits",5
"110","atlas elektronik uk",24
"111","atlassian",8
"112","auckland uniservices",8
"113","aura sro",5
"114","aurec",6
"115","auscon",5
"116","aust public svc comm",5
"117","austin & repatriation medical ctr",11
"118","australasia holdings",8
"119","australian bedding",5
"120","australian government solicitor",6
"121","auswood construction & project mgmt",9
"122","automated business power llc db",10
"123","avantstar",7
"124","aviall airline",7
"125","aviall services",8
"126","aviall services dba aviall of",5
"127","aviation devices and electronic com",8
"128","aviva solutions",6
"129","avon barrier",8
"130","avox systems",24
"131","avtron aerospace",8
"132","awr",7
"133","axa insurance",5
"134","axa insurance singapore pte",6
"135","ba insight",5
"136","ba-insight",9
"137","babel street",6
"138","badley geoscience",5
"139","bae systems (operations)",16
"140","bae systems (operations)-lifcap",78
"141","bae systems aerospace & defense",9
"142","bae systems aerospace & defense gro",11
"143","bae systems controls",35
"144","bae systems controls dba bae s",6
"145","bae systems global combat systems l",19
"146","bae systems information",9
"147","bae systems information and electro",31
"148","bae systems land systems (weapons",6
"149","bae systems national security solut",40
"150","baines simmons",5
"151","ballarat austin radiation oncology",9
"152","baser heather",6
"153","basic engineering concepts",15
"154","bayu purnama sdn bhd",9
"155","bdg synthesis",7
"156","be meyers",8
"157","beak engineering",6
"158","beijing fuhua exhibition",5
"159","benfield marketing",6
"160","bentham instruments",6
"161","bentley systems international",22
"162","berlinger special",12
"163","bin hamoodah properties",6
"164","binswanger hans p",5
"165","birches group",5
"166","bjs agencis",7
"167","blackbox biometrics",5
"168","blackheath economics",6
"169","bloomberg",23
"170","bloomberg finance lp",33
"171","bloomberg lp",5
"172","blue aerospace",10
"173","bluewater systems",6
"174","boeing",770
"175","boeing company boeing",41
"176","boeing company the",8
"177","boeing company the defense space",8
"178","boeing company the div defense spac",5
"179","boeing company the!dba boeing",6
"180","boeing d",11
"181","boeing information space & defence",10
"182","boeing(westpac)",13
"183","boise state university",7
"184","boroko foodworld",9
"185","bowbridge software",5
"186","bp marine",8
"187","brandt oilfield services",5
"188","brett goodhew",5
"189","brian tamberlin qc",5
"190","brightway engineering",14
"191","british met office",5
"192","british meteorological office uk",6
"193","brocade communications switzerland",6
"194","bundesamt fuer wehrtechnik und besc",5
"195","bundeskasse trier",8
"196","bundeswehr service centre bonn",5
"197","burdeshaw associates",10
"198","bureau international des poids et mesure (bipm)",6
"199","burjuman centre",8
"200","burnt pine travel",40
"201","business monitor international",7
"202","c & m engineers",9
"203","c&c building materials",6
"204","c&m associates",16
"205","caci technologies",13
"206","cae",22
"207","cae flightscape",8
"208","cae flightscapeorporated",6
"209","camfil farr new zealand",7
"210","canadian commercial",5
"211","canadian commercial corp dba corpor",7
"212","canberra hospital",11
"213","capital financial consultants",13
"214","caris a universal systems",7
"215","cartesian",11
"216","cartesian getthepat",8
"217","cartesian products",14
"218","cartridge actuated devices",12
"219","cas",6
"220","cassidian electronics",10
"221","castaneda tarsicio",7
"222","caterpillar sarl (singapore) branch",5
"223","cba consulting group",10
"224","cbh           81630014",5
"225","cbt nuggets",15
"226","ceb",97
"227","ceb global",18
"228","cellebrite",7
"229","central meridian",6
"230","centre for health economics and policy analysis",7
"231","century 21 siule r/e",15
"232","certification services",6
"233","cesg",5
"234","ceteris",5
"235","changepoint canada ulc",21
"236","channel research sprl",7
"237","charles kendall & partners",66
"238","chart",5
"239","chelton",8
"240","chemical abstracts service",26
"241","chemring countermeasures",5
"242","chesapeake technology",5
"243","choong lye hock estates sdn bhd",9
"244","christmas island administration",13
"245","christmas island adminstration",7
