"","Category","kf25","kf50","kf100","kfit100.sp$cluster","kfit150.sp$cluster","kfit150$cluster","kfit250$cluster","kfit250.sp$cluster"
"1","real estate services",1,50,31,98,149,80,119,106
"2","printed media",14,26,70,3,140,109,183,59
"3","management and business professionals and administrative services",15,9,40,18,65,18,145,81
"4","insurance and retirement services",1,50,31,98,149,80,119,106
"5","human resources services",1,50,31,98,149,80,119,106
"6","motor vehicles",14,7,62,21,122,84,81,137
"7","computer services",10,46,54,92,99,46,6,236
"8","accounting and auditing",14,36,89,21,127,78,188,176
"9","publication printing",14,26,70,3,140,109,183,59
"10","structures and building and construction and manufacturing components and supplies",4,48,55,5,94,126,242,90
"11","passenger motor vehicles",23,12,79,41,43,95,45,55
"12","passenger transport",14,7,84,56,30,77,178,197
"13","business administration services",21,50,23,15,84,80,84,14
"14","travel and food and lodging and entertainment services",15,8,40,18,65,18,120,157
"15","information technology broadcasting and telecommunications",25,20,35,62,64,32,210,127
"16","building and construction and maintenance services",8,13,13,94,7,101,89,69
"17","computer equipment and accessories",19,6,87,8,144,28,64,43
"18","marketing and distribution",14,36,58,48,127,117,118,144
"19","legal services",10,46,54,92,99,51,109,1
"20","telecommunications media services",1,50,36,98,149,80,164,108
"21","community outreach programs",23,12,53,21,143,20,228,63
"22","electrical equipment and components and supplies",11,32,34,23,54,102,180,226
"23","information services",10,46,54,92,99,51,109,1
"24","furniture and furnishings",14,22,84,76,137,141,99,130
"25","tools and general machinery",22,45,93,78,35,1,215,124
"26","storage",7,11,25,59,62,85,131,7
"27","transport operations",14,7,84,56,30,77,178,197
"28","vulnerability assessment security equipment",11,32,20,20,33,88,245,241
"29","chartered aeroplane travel",23,12,53,41,87,20,12,20
"30","travel facilitation",14,36,89,21,91,16,127,205
"31","trade policy and services",1,50,36,98,149,80,164,181
"32","internal audits",14,36,89,21,91,16,71,205
"33","management advisory services",1,50,4,14,97,63,165,208
"34","temporary personnel services",1,50,36,98,57,80,164,145
"35","education and training services",1,50,23,70,15,63,27,229
"36","hotels and lodging and meeting facilities",25,20,35,62,64,32,8,127
"37","building construction and support and maintenance and repair services",12,43,72,67,29,106,93,94
"38","general building construction",23,12,93,41,108,54,144,133
"39","alternative educational systems",17,27,100,13,92,150,241,220
"40","advertising",7,2,8,86,137,56,179,150
"41","management and provision of all catering, cleaning, office and security services at location or platform",9,37,41,32,24,100,217,217
"42","information technology consultation services",2,13,68,94,63,101,221,189
"43","cleaning and janitorial services",1,50,31,70,55,80,140,106
"44","power generation",14,21,37,21,49,138,95,166
"45","floor coverings",14,36,89,21,91,16,240,218
"46","floriculture and silviculture products",23,12,46,74,79,119,198,107
"47","transportation and storage and mail services",2,13,68,94,7,101,249,70
"48","fuels",7,2,8,86,39,103,102,163
"49","building and construction machinery and accessories",25,20,92,50,113,137,177,45
"50","printing and publishing equipment",19,6,87,20,3,17,47,247
"51","language schooling",14,36,89,21,91,16,71,205
"52","agricultural research services",1,50,36,98,149,47,53,106
"53","agriculture and forestry and other natural resources training services",12,43,72,67,29,23,93,94
"54","agricultural institutions organisation or management services",15,9,40,18,65,18,145,81
"55","travel agencies",14,36,89,21,91,16,127,205
"56","computer support parts or accessories",25,20,92,50,113,137,177,72
"57","distribution",7,2,8,86,137,15,34,150
"58","editorial and design and graphic and fine art services",12,43,72,67,29,23,93,94
"59","government auditing services",1,50,31,98,149,80,119,106
"60","electrical cable and accessories",18,30,48,9,119,110,176,235
"61","compensation or benefits planning",23,12,53,21,86,97,79,205
"62","audit services",10,46,54,92,99,51,109,1
"63","lease and rental of property or building",25,20,35,62,64,32,210,127
"64","printing",7,2,25,86,137,68,190,150
"65","travel agents",14,36,89,21,91,16,127,205
"66","workshops",7,2,8,86,137,15,34,150
"67","agro ecological zones assessment or planning",16,16,42,41,87,57,224,118
"68","budget preparation or review services",2,13,68,94,63,101,221,189
"69","adoption services",10,46,54,72,58,51,109,60
"70","license management software",23,14,56,99,105,22,162,179
"71","printed publications",14,26,70,3,140,109,183,59
"72","editing services",10,46,54,92,99,51,109,1
"73","components for information technology or broadcasting or telecommunications",3,16,45,47,85,9,155,89
"74","mail and cargo transport",23,12,33,12,5,149,51,200
"75","fleet management services",1,50,4,92,61,63,165,121
"76","entertainment services",10,46,54,92,99,51,109,1
"77","community and social services",1,50,31,98,149,80,119,106
"78","workstations and office packages",23,12,53,21,93,20,126,147
"79","software",7,19,30,73,79,48,229,38
"80","educational stickers and supplies",23,30,19,65,128,36,248,206
"81","recruitment services",10,46,54,92,99,51,109,1
"82","electronic and communication measuring and testing instruments",16,16,42,47,66,57,231,62
"83","internet services",10,46,54,92,99,51,109,1
"84","financial and insurance services",1,50,31,98,149,80,119,106
"85","stamps",7,2,8,86,137,15,34,150
"86","professional engineering services",1,50,36,98,57,80,119,145
"87","phone and video conference equipment and hardware and controllers",4,48,32,85,123,75,74,201
"88","parking structures",14,36,89,21,91,135,148,240
"89","videoconferencing systems",13,5,16,53,82,86,175,161
"90","interior design or decorating",23,12,53,41,87,20,12,20
"91","safety training services",1,50,23,70,15,63,27,229
"92","human resource development",23,12,53,64,87,29,29,44
"93","banking and investment",14,36,89,21,91,16,71,205
"94","media control systems",17,27,100,13,92,150,117,220
"95","market research",14,36,58,48,127,117,118,144
"96","general building and office cleaning and maintenance services",12,43,72,67,29,106,93,94
"97","business and corporate management consultation services",15,9,40,18,65,18,145,81
"98","television services",10,46,54,92,99,51,109,1
"99","uninterruptible power supplies",23,30,19,65,128,36,248,206
"100","mailing services",10,46,54,92,121,51,109,13
"101","software maintenance and support",23,14,51,71,105,82,205,36
"102","multifunction machines",14,36,88,95,102,113,21,250
"103","transportation engineering",14,42,84,56,30,77,178,197
"104","world wide web www site design services",5,18,83,29,51,40,56,80
"105","office machines and their supplies and accessories",25,20,92,50,78,137,238,230
"106","vocational training",14,36,89,21,91,16,116,193
"107","accommodation furniture",14,22,84,21,91,141,99,147
"108","commercial and industrial furniture",23,38,52,41,142,27,236,178
"109","communications devices and accessories",18,30,48,9,119,11,176,235
"110","audio and visual presentation and composing equipment",16,16,76,6,1,19,78,25
"111","paper products",14,21,77,38,21,43,247,171
"112","electronic reference material",23,35,94,90,81,144,44,185
"113","manufacture of electrical goods and precision instruments",16,16,42,62,64,57,231,26
"114","fisheries and aquaculture",14,36,89,21,91,16,71,187
"115","personnel recruitment",14,36,89,21,91,16,71,205
"116","computer hardware maintenance or support",25,20,35,1,44,129,187,222
"117","office furniture",14,22,84,21,93,141,163,147
"118","computer servers",14,36,10,30,98,35,20,132
"119","circuit switchboard equipment",19,6,87,20,3,17,47,247
"120","finance accounting and enterprise resource planning erp software",5,18,80,57,14,71,54,51
"121","materials requirements planning logistics and supply chain software",5,18,80,57,14,71,150,51
"122","enterprise resource planning erp software",3,16,45,47,85,9,110,62
"123","satellite access equipment",19,6,87,20,3,17,47,247
"124","news and publicity services",1,50,31,98,149,80,119,106
"125","printer and facsimile and photocopier supplies",25,20,96,23,50,147,25,215
"126","computer based training software",25,3,91,39,77,49,86,194
"127","proprietary or licensed systems maintenance or support",20,16,71,4,11,39,212,101
"128","backup or archival software",23,14,51,71,105,82,205,179
"129","application implementation services",1,50,31,98,149,80,119,106
"130","guard services",10,46,54,92,99,51,109,1
"131","motion pictures on digital video disk dvd",4,48,55,5,94,126,17,90
"132","photocopiers",7,2,25,86,137,127,87,102
"133","furniture",7,2,8,76,137,103,68,130
"134","property management services",1,50,4,14,97,63,165,208
"135","file archive storage",23,12,57,40,87,55,103,153
"136","tape drives",14,36,89,21,91,108,121,205
"137","fixed phones",14,36,14,21,91,16,148,205
"138","window film",14,36,89,21,91,16,71,205
"139","data voice or multimedia network equipment or platforms and accessories",5,18,50,57,14,44,54,51
"140","sampling surveys",14,36,89,21,91,16,71,205
"141","economic cooperation services",1,50,31,98,149,80,119,106
"142","personnel relocation",14,36,89,21,91,16,71,205
"143","conference centres",14,36,89,21,91,16,71,205
"144","private investigation services",1,50,31,92,99,80,119,1
"145","network analysers",14,36,89,21,91,135,107,67
"146","internet based market research",25,20,35,62,64,143,2,127
"147","automobile suspension systems",17,27,100,13,92,150,241,220
"148","vehicle inspection services",1,50,28,98,149,80,119,160
"149","inks",7,2,8,35,110,15,34,165
"150","security and control equipment",19,6,87,20,33,17,213,11
"151","freight loading or unloading",23,12,53,21,91,20,12,205
"152","non flowering plants",23,12,53,41,87,20,80,86
"153","promotional merchandise",14,36,89,21,91,16,71,205
"154","productivity or efficiency studies or implementation",25,20,35,36,150,98,173,42
"155","relocation services",10,46,54,92,99,51,109,1
"156","storage sheds",14,22,61,59,62,93,168,7
"157","healthcare services",10,46,54,92,99,51,109,1
"158","government accounting services",1,50,31,98,149,80,119,106
"159","maintenance or support fees",23,12,6,96,87,21,125,36
"160","development",7,2,8,46,137,120,43,173
"161","high end computer servers",25,20,35,1,44,129,50,222
"162","library or documentation services",1,50,31,98,149,80,119,106
"163","surveillance and detection equipment",19,6,87,20,3,17,47,247
"164","air conditioning installation or maintenance or repair services",12,43,72,67,29,106,93,94
"165","information exchange software",23,14,51,71,105,82,205,179
"166","comprehensive health services",1,50,31,92,99,80,119,1
"167","measuring and observing and testing instruments",25,20,35,62,64,32,244,32
"168","office supplies",14,36,37,65,128,6,246,206
"169","clothing",7,2,8,68,137,15,235,242
"170","electrical wire and cable and harness",25,20,35,62,64,14,128,26
"171","rubber and elastomers",14,36,89,86,137,16,71,102
"172","security surveillance and detection",23,12,53,96,87,20,12,175
"173","marine transport",14,7,84,56,30,77,178,197
"174","commercial and military and private vehicles and their accessories and components",4,48,55,5,94,126,242,191
"175","metal and mineral industries",23,38,52,41,142,27,38,178
"176","jewellery",7,2,8,86,137,15,34,150
"177","industrial manufacturing and processing machinery and accessories",16,16,81,47,69,45,70,142
"178","enhanced telecommunications services",1,50,36,98,149,80,164,108
"179","strategic planning consultation services",2,13,5,98,149,2,9,54
"180","defence and law enforcement and security and safety equipment and supplies",5,18,50,57,14,44,54,51
"181","specialised educational services",1,50,23,70,15,63,27,106
"182","adult education",14,36,67,21,148,135,83,196
"183","project management",14,36,44,31,135,24,237,192
"184","temporary information technology systems or database administrators",4,48,55,5,94,126,242,90
"185","building construction management",23,12,93,64,108,54,144,133
"186","livestock services",10,46,54,92,99,51,109,1
"187","market research on location surveys",25,20,35,62,64,143,2,127
"188","marine craft systems and subassemblies",25,47,7,13,92,12,181,220
"189","fibres and threads and yarns",23,12,53,21,91,20,12,205
"190","medical doctors specialist services",2,13,68,98,149,101,189,106
"191","paper materials",14,28,77,21,129,90,82,91
"192","material handling machinery and equipment",6,32,29,75,36,88,250,203
"193","administrative fees or tax collection services",15,8,40,18,65,18,120,157
"194","industrial printing services",1,50,31,70,55,80,140,16
"195","bags",7,2,8,54,137,15,113,27
"196","stationery",7,2,8,86,137,15,34,150
"197","internet related services",1,50,75,98,125,80,88,103
"198","printing and writing paper",23,12,78,41,87,136,24,98
"199","accommodation structures",14,36,89,21,91,135,148,240
"200","packaging materials",14,28,77,21,129,90,82,91
"201","manual writing services",1,50,31,98,149,80,140,106
"202","business function specific software",25,3,91,39,77,49,86,8
"203","toner",7,2,8,35,110,15,34,165
"204","temporary financial staffing needs",25,20,35,62,72,32,22,127
"205","notebook computers",14,36,10,30,98,35,20,132
"206","compact disk cd duplication and printing services",15,8,40,18,65,18,120,157
"207","video production services",1,50,31,98,149,80,119,12
"208","document scanning service",1,50,31,98,149,80,119,106
"209","written translation services",1,50,31,92,99,80,119,1
"210","mapping",7,2,8,86,137,15,34,150
"211","international vessel transport services",2,13,68,94,7,101,249,70
"212","package design services",1,50,31,98,149,80,119,12
"213","phone headsets",14,36,14,21,91,16,148,205
"214","domestic vessel transport services",2,13,68,94,7,101,249,70
"215","meeting facilities",14,36,89,21,91,16,204,205
"216","packaging boxes",14,36,89,21,91,78,57,205
"217","franking or postage machines",23,12,74,95,102,66,129,250
"218","billboard advertising",14,41,89,21,136,121,206,202
"219","posters",7,2,8,86,137,15,34,150
"220","national postal delivery services",2,13,68,94,63,101,221,189
"221","specialty envelopes",14,36,89,21,91,16,71,205
"222","telecom equipment maintenance or support",11,32,20,20,3,88,195,48
"223","shelving and storage",14,22,61,22,89,93,168,115
"224","mailing or mail pick up or delivery services",5,18,83,67,29,40,56,94
"225","mailing list compilation services",2,13,68,92,121,101,221,13
"226","newspaper advertising",14,41,89,21,136,121,206,202
"227","occupational health or safety services",2,13,68,94,63,101,221,189
"228","material handling services",1,50,31,98,149,80,119,12
"229","office equipment and accessories and supplies",11,32,34,23,54,102,75,128
"230","postal and small parcel and courier services",15,8,40,94,63,18,120,189
"231","window envelopes",14,36,89,21,91,16,71,205
"232","standard envelopes",14,36,89,21,91,16,71,205
"233","local area trucking services",2,13,68,94,63,101,221,189
"234","technical support or help desk services",15,8,40,94,63,18,120,189
"235","business forms or questionnaires",23,12,53,21,100,20,199,205
"236","specialty industrial use papers",25,20,35,62,64,32,143,182
"237","local and long distance telephone communications",16,16,42,47,66,57,224,62
"238","data services",10,46,54,92,130,112,7,138
"239","digital industrial printing services",2,13,47,94,63,101,134,68
"240","employer administered pension funds",25,20,35,41,87,32,210,20
"241","mechanical letter opener",23,12,53,21,91,20,12,205
"242","digital versatile disks dvds",25,20,35,41,87,32,210,20
"243","public relations programs or services",2,13,5,94,63,2,9,68
"244","temporary construction services",1,50,36,98,57,80,164,145
"245","public relation services",1,50,75,98,125,80,88,103
"246","communication aids for the physically challenged",25,20,35,62,88,52,210,2
"247","rehabilitation services",10,46,54,92,99,51,109,1
"248","laser printers",14,36,89,21,91,16,71,33
"249","professional procurement services",1,50,31,98,149,80,119,106
"250","risk or hazard assessment",23,12,53,41,87,20,12,20
"251","security guard services",1,50,31,98,149,80,119,106
"252","employment",7,2,8,86,137,15,34,150
"253","fixed network equipment and components",11,32,20,75,36,88,245,58
"254","power generators",14,21,37,21,49,138,95,166
"255","meeting or banquet rooms",23,12,53,41,87,20,12,20
"256","temporary information technology networking specialists",3,16,45,47,85,9,155,89
"257","computer generated design services",2,13,68,94,63,101,221,189
"258","phone handsets",14,36,14,86,137,16,148,102
"259","building cleaning services",1,50,31,70,55,80,158,168
"260","carpeting",7,2,8,86,137,15,34,99
"261","cardboard",7,2,8,35,110,15,34,165
"262","road cargo transport",23,12,33,12,5,149,51,200
"263","graphic design",14,36,89,21,91,16,194,205
"264","electronic mail software",23,14,51,71,105,82,205,179
"265","owner or user manuals",23,12,53,21,91,20,12,205
"266","print advertising",14,26,70,3,140,109,183,59
"267","employee assistance programs",23,12,53,79,109,20,228,20
"268","production statistics collection or analysis services",15,8,40,18,65,125,52,157
"269","population sample surveys services",2,13,68,94,63,101,221,189
"270","catering services",10,46,54,92,99,51,109,1
"271","promotional material or annual reports",25,20,2,90,81,65,67,185
"272","fibre optic cable",23,12,53,41,87,131,199,245
"273","computer aided design cad software",3,16,45,39,77,9,110,194
"274","computers",7,49,98,55,132,58,139,104
"275","electronic hardware and component parts and accessories",16,16,81,47,20,45,70,142
"276","engineering and research and technology based services",15,8,40,18,65,18,120,40
"277","medical equipment and accessories and supplies",11,32,34,23,54,102,75,128
"278","raw materials processing machinery",25,20,2,62,34,65,67,139
"279","boat trailer",14,36,89,21,91,16,71,205
"280","domestic appliances",14,36,89,21,91,16,71,41
"281","mass transfer equipment",19,6,87,20,3,17,47,247
"282","understanding or dealing with cultural diversity instructional materials",4,48,55,62,34,126,17,139
"283","restaurants and catering",14,36,89,21,91,16,71,205
"284","public administration and finance services",2,13,68,94,63,2,221,189
"285","research programs",14,36,58,48,143,117,146,63
"286","mobile phones",14,36,14,21,91,16,148,205
"287","diesel generators",14,36,89,21,91,138,95,205
"288","audio and visual equipment",19,6,87,20,3,17,47,247
"289","hotels and motels and inns",23,12,53,86,137,20,12,150
"290","residential rental",14,36,89,21,91,16,71,205
"291","laboratory and scientific equipment",19,6,87,20,3,17,47,247
"292","law enforcement",14,36,89,21,91,16,71,205
"293","call management systems or accessories",25,47,7,4,11,12,233,101
"294","laboratory and measuring and observing and testing equipment",16,16,76,6,1,19,78,25
"295","branding of product naming services",2,13,68,94,114,101,221,154
"296","medical science and research",23,12,53,89,116,123,94,237
"297","landscaping services",10,46,54,92,99,51,109,1
"298","computer printers",14,36,10,30,98,35,20,132
"299","management support services",1,50,4,14,97,63,165,208
"300","statistics",7,2,8,86,137,15,34,150
"301","banquet and catering services",1,50,31,98,149,80,119,106
"302","educational and research structures",23,12,53,89,116,134,149,116
"303","consumer based research or clinics or focus groups",4,48,55,62,64,126,17,127
"304","security and protection software",23,14,51,71,105,82,205,179
"305","business law services",1,50,31,98,149,80,119,106
"306","printing and photographic and audio and visual equipment and supplies",4,48,32,85,123,75,74,201
"307","writing and translations",14,36,89,21,91,16,5,205
"308","publishing",7,2,8,86,137,15,34,150
"309","addressing or mailing labels",23,12,53,41,87,20,115,20
"310","events management",14,36,44,31,135,24,237,192
