"","x"
"Administrative Appeals Tribunal",0
"Attorney-General's Department",0
"Austrade",0
"Australian Broadcasting Corporation",0
"Australian Bureau of Statistics",0
"Australian Centre for International Agricultural Research",0
"Australian Communications and Media Authority (ACMA)",0
"Australian Competition and Consumer Commission",0
"Australian Criminal Intelligence Commission",0
"Australian Customs and Border Protection Service",0
"Australian Electoral Commission",0
"Australian Fair Pay Commission",0
"Australian Federal Police",0
"Australian Financial Security Authority",0
"Australian Human Rights Commission",0
"Australian Industrial Registry",0
"Australian Institute of Family Studies",0
"Australian Maritime Safety Authority",0
"Australian National Audit Office (ANAO)",0
"Australian Office of Financial Management",0
"Australian Prudential Regulation Authority (APRA)",0
"Australian Public Service Commission",0
"Australian Radiation Protection and Nuclear Safety Agency (ARPANSA)",0
"Australian Research Council",0
"Australian Securities and Investments Commission",0
"Australian Sports Anti-Doping Authority (ASADA)",0
"Australian Taxation Office",0
"Australian Transaction Reports and Analysis Centre (AUSTRAC)",0
"Australian War Memorial",0
"Bureau of Meteorology",0
"CRS Australia",0
"CSIRO",0
"Cancer Australia",0
"Centrelink",0
"Child Support Agency",0
"Civil Aviation Safety Authority",0
"Commonwealth Grants Commission",0
"Comsuper",0
"CrimTrac",0
"Defence Materiel Organisation",0
"Department of Agriculture and Water Resources",0
"Department of Communications, Information Technology and the Arts",0
"Department of Defence",0
"Department of Education, Science and Training",0
"Department of Employment and Workplace Relations",0
"Department of Families, Community Services & Indigenous Affairs",0
"Department of Family and Community Services (FaCS)",0
"Department of Finance",0
"Department of Foreign Affairs and Trade",0
"Department of Foreign Affairs and Trade - Australian Aid Program",0
"Department of Health",0
"Department of Home Affairs",0
"Department of Human Services",0
"Department of Human Services Retired",0
"Department of Immigration and Multicultural Affairs",0
"Department of Industry, Tourism and Resources",0
"Department of Parliamentary Services",0
"Department of Transport and Regional Services",0
"Department of Veterans' Affairs",0
"Department of the Environment and Energy",0
"Department of the Environment and Heritage",0
"Department of the Environment and Water Resources",0
"Department of the House of Representatives",0
"Department of the Prime Minister and Cabinet",0
"Department of the Senate",0
"Department of the Treasury",0
"Director of National Parks",0
"Equal Opportunity for Women in the Workplace Agency",0
"Family Court and Federal Circuit Court",0
"Federal Circuit Court of Australia",0
"Federal Court of Australia",0
"Future Fund Management Agency",0
"Geoscience Australia",0
"IP Australia",0
"Medicare Australia",0
"National Archives of Australia",0
"National Blood Authority",0
"National Capital Authority",0
"National Competition Council",0
"National Health and Medical Research Council",0
"National Library of Australia",0
"National Museum of Australia",0
"National Native Title Tribunal",0
"National Offshore Petroleum Safety Authority",0
"National Water Commission",0
"Office of National Assessments",0
"Office of Parliamentary Counsel",0
"Office of the Australian Building and Construction Commissioner (ABCC)",0
"Office of the Commonwealth Ombudsman",0
"Office of the Director of Public Prosecutions",0
"Office of the Inspector-General of Intelligence and Security",0
"Office of the Official Secretary to the Governor-General",0
"Office of the Privacy Commissioner",0
"Private Health Insurance Ombudsman",0
"Productivity Commission",0
"Questacon",0
"Reserve Bank of Australia",0
"Royal Australian Mint",0
"Therapeutic Goods Administration",0
"Tourism Australia",0
"Workplace Ombudsman",0
"Australian Building and Construction Commission",0
"Australian Fisheries Management Authority",0
"Australian Nuclear Science and Technology Organisation (ANSTO)",0
"Australian Pesticides and Veterinary Medicines Authority",0
"Comcare",0
"Dairy Adjustment Authority",0
"Department of Climate Change",0
"Department of Communications and the Arts",0
"Department of Education Employment and Workplace Relations",0
"Department of Families, Housing, Community Services and Indigenous Affairs",0
"Department of Industry, Innovation and Science",0
"Department of Infrastructure Transport Regional Development and Local Government",0
"Department of Resources Energy and Tourism",0
"Department of Social Services",0
"Department of the Environment Water Heritage and the Arts",0
"Export Wheat Commission",0
"Great Barrier Reef Marine Park Authority",0
"Migration Review Tribunal and Refugee Review Tribunal (MRT-RRT)",0
"National Offshore Petroleum Safety and Environmental Management Authority",0
"Office of the Australian Information Commissioner",0
"Old Parliament House",0
"Professional Services Review",0
"Wheat Exports Australia",0
"Workplace Authority",0
"Workplace Gender Equality Agency",0
"Fair Work Commission",0
"Fair Work Ombudsman and Registered Organisations Commission Entity",0
"Grains Research and Development Corporation",0
"Murray-Darling Basin Authority",0
"Office of the Renewable Energy Regulator",0
"Australian Commission for Law Enforcement Integrity",0
"Australian Institute of Health and Welfare",0
"Australian Transport Safety Bureau",0
"Clean Energy Regulator",0
"Department of Climate Change and Energy Efficiency",0
"Department of Infrastructure and Transport",0
"Department of Regional Australia, Local Government, Arts and Sport",0
"Export Finance and Insurance Corporation (EFIC)",0
"Office of the Auditing and Assurance Standards Board",0
"Office of the Australian Accounting Standards Board",0
"Organ and Tissue Authority",0
"Safe Work Australia",0
"Social Security Appeals Tribunal",0
"Australian National Preventive Health Agency",0
"Commonwealth of Australia",0
"Department of Health - Therapeutic Goods Administration",0
"National Gallery of Australia",0
"Tertiary Education Quality and Standards Agency",0
"Australian Institute of Criminology",0
"Australian Law Reform Commission",0
"Australian Skills Quality Authority",0
"Climate Change Authority",0
"Independent Hospital Pricing Authority",0
"National Mental Health Commission",0
"Parliamentary Budget Office",0
"Sydney Harbour Federation Trust",0
"Telecommunications Universal Service Management Agency",0
"Department of Infrastructure, Regional Development and Cities",0
"Inspector-General of Taxation",0
"National Health Funding Body",0
"National Health Performance Authority",0
"Asbestos Safety and Eradication Agency",0
"Australian Aged Care Quality Agency",0
"Australian National Maritime Museum",0
"Department of Education and Training",0
"Department of Jobs and Small Business",0
"Digital Transformation Agency",0
"Seacare",0
"ENTITY NAME: STARHILL HOTEL (MELBOURNE) PTY LTD""",0
"Independent Parliamentary Expenses Authority",0
"Infrastructure and Project Financing Agency",0
"Australian Digital Health Agency",0
"cushman & wakefield pty ltd",1469
"reed international books australia pty limited",594
"thomson reuters (professional australia limited",503
"comsuper",312
"comcare australia",532
"department of finance",2811
"grace information management pty ltd",4
"leaseplan australia limited",4566
"university of technology sydney",246
"sirsidynix pty ltd",143
"janusnet pty limited",51
"interactive pty. limited",48
"data#3 limited.",3510
"nexon asia pacific pty. ltd.",11
"timebase pty ltd",48
"the g s family trust",4
"godfrey and spowers unit trust",1
"a.c.n. 102 817 541 pty ltd",211
"the trustee for the andrew mallia family trust",5
"cybertrust australia pty limited",328
"american express australia limited",356
"james c raymond phd",4
"samuel smith & son pty. ltd.",3
"the dialog corporation asia pacific limited",10
"think software solutions pty ltd",1
"the trustee for ia group unit trust",184
"strategic business consulting pty ltd",27
"southern cross computing pty limited",1558
"canprint communications pty limited",1001
"careers unlimited pty ltd",309
"peoplebank australia ltd",3525
"dimension data australia pty limited",3500
"riley family trust & dirrawan family trust & elimatta family trust",171
"blaze advertising pty ltd",1379
"geoscience australia",247
"the university of queensland",664
"australian government solicitor",10865
"standards australia limited",41
"roy morgan research ltd",100
"telstra corporation limited",5025
"modis staffing pty ltd",2707
"ambit engineering pty limited",530
"deloitte touche tohmatsu",1882
"citrix systems asia pacific pty ltd",278
"ibm australia ltd",3102
"xaa (act pty ltd",126
"taylor nelson sofres australia pty limited",211
"sutherland shire council",2
"effective people pty ltd",940
"hays specialist recruitment (australia pty limited",10837
"bae systems applied intelligence pty limited",265
"aurion corporation pty ltd",355
"tower software engineering pty ltd",52
"bvn architecture pty ltd",114
"dell australia pty limited",4386
"department of defence",1990
"cultural perspectives pty ltd",97
"ecowise services (australia pty ltd",286
"emc infra pty limited",52
"kaz group pty limited",705
"university of melbourne",689
"hinesight development pty ltd",9
"gartner australasia pty limited",500
"the trustee for hedley family unit trust",37
"the trustee for hoban recruitment unit trust",434
"wilton hanford hanover pty limited",182
"zenith interiors (act pty ltd",255
"the trustee for sga (1994 trust",22
"clicks recruit pty ltd",1327
"edmore pty. limited",12
"cic secure pty ltd",112
"morpath pty. limited",4
"knight frank (canberra pty ltd",5
"the trustee for mirvac commercial trust",32
"chubb fire & security pty ltd",903
"relationships australia (qld",8
"bae systems australia defence pty limited",3372
"face 2 face recruitment pty limited",619
